(S000119, S000028)
(S000119, S000033)
(S000119, S000034)
(S000119, S000062)
(S000119, S000146)
(S000119, S000147)
(S000119, S000148)
(S000119, S000158)
(S000119, S000198)
(S000119, S000202)
(S000119, S000210)
(S000120, S000002)
(S000120, S000020)
(S000120, S000025)
(S000120, S000026)
(S000120, S000027)
(S000120, S000028)
(S000120, S000033)
(S000120, S000034)
(S000120, S000062)
(S000120, S000146)
(S000120, S000147)
(S000120, S000148)
(S000120, S000158)
(S000120, S000198)
(S000120, S000202)
(S000120, S000210)
(S000125, S000126)
(S000136, S000137)
(S000139, S000002)
(S000139, S000020)
(S000139, S000025)
(S000139, S000026)
(S000139, S000027)
(S000139, S000028)
(S000139, S000033)
(S000139, S000034)
(S000139, S000062)
(S000139, S000146)
(S000139, S000147)
(S000139, S000148)
(S000139, S000158)
(S000139, S000198)
(S000139, S000202)
(S000139, S000210)
(S000140, S000002)
(S000140, S000020)
(S000140, S000025)
(S000140, S000026)
(S000140, S000027)
(S000140, S000028)
(S000140, S000033)
(S000140, S000034)
(S000140, S000062)
(S000140, S000146)
(S000140, S000147)
(S000140, S000148)
(S000140, S000158)
(S000140, S000198)
(S000140, S000202)
(S000140, S000210)
(S000146, S000002)
(S000146, S000027)
(S000149, S000002)
(S000149, S000020)
(S000149, S000026)
(S000149, S000027)
(S000149, S000028)
(S000149, S000033)
(S000149, S000034)
(S000149, S000062)
(S000149, S000146)
(S000149, S000147)
(S000149, S000148)
(S000149, S000158)
(S000149, S000198)
(S000149, S000202)
(S000149, S000210)
(S000153, S000002)
(S000153, S000020)
(S000153, S000026)
(S000153, S000027)
(S000153, S000028)
(S000153, S000033)
(S000153, S000034)
(S000153, S000062)
(S000153, S000146)
(S000153, S000147)
(S000153, S000148)
(S000153, S000158)
(S000153, S000198)
(S000153, S000202)
(S000153, S000210)
(S000156, S000002)
(S000156, S000023)
(S000158, S000002)
(S000158, S000020)
(S000158, S000025)
(S000158, S000026)
(S000158, S000027)
(S000158, S000028)
(S000158, S000033)
(S000158, S000034)
(S000158, S000062)
(S000158, S000146)
(S000158, S000147)
(S000158, S000148)
(S000158, S000198)
(S000158, S000202)
(S000158, S000210)
(S000165, S000002)
(S000165, S000023)
(S000168, S000002)
(S000168, S000020)
(S000168, S000026)
(S000168, S000027)
(S000168, S000028)
(S000168, S000033)
(S000168, S000034)
(S000168, S000062)
(S000168, S000112)
(S000168, S000113)
(S000168, S000114)
(S000168, S000115)
(S000168, S000116)
(S000168, S000117)
(S000168, S000119)
(S000168, S000125)
(S000168, S000126)
(S000168, S000146)
(S000168, S000147)
(S000168, S000148)
(S000168, S000158)
(S000168, S000170)
(S000168, S000176)
(S000168, S000198)
(S000168, S000201)
(S000168, S000202)
(S000168, S000210)
(S000169, S000002)
(S000169, S000020)
(S000169, S000026)
(S000169, S000027)
(S000169, S000028)
(S000169, S000033)
(S000169, S000034)
(S000169, S000062)
(S000169, S000112)
(S000169, S000113)
(S000169, S000114)
(S000169, S000115)
(S000169, S000116)
(S000169, S000117)
(S000169, S000119)
(S000169, S000125)
(S000169, S000126)
(S000169, S000146)
(S000169, S000147)
(S000169, S000148)
(S000169, S000158)
(S000169, S000170)
(S000169, S000176)
(S000169, S000198)
(S000169, S000201)
(S000169, S000202)
(S000169, S000210)
(S000170, S000002)
(S000170, S000020)
(S000170, S000026)
(S000170, S000027)
(S000170, S000028)
(S000170, S000033)
(S000170, S000034)
(S000170, S000062)
(S000170, S000146)
(S000170, S000147)
(S000170, S000148)
(S000170, S000158)
(S000170, S000198)
(S000170, S000202)
(S000170, S000210)
(S000173, S000002)
(S000173, S000020)
(S000173, S000025)
(S000173, S000026)
(S000173, S000027)
(S000173, S000028)
(S000173, S000032)
(S000173, S000033)
(S000173, S000034)
(S000173, S000038)
(S000173, S000062)
(S000173, S000103)
(S000173, S000146)
(S000173, S000147)
(S000173, S000148)
(S000173, S000158)
(S000173, S000198)
(S000173, S000202)
(S000173, S000210)
(S000176, S000002)
(S000176, S000020)
(S000176, S000026)
(S000176, S000027)
(S000176, S000028)
(S000176, S000033)
(S000176, S000034)
(S000176, S000062)
(S000176, S000112)
(S000176, S000113)
(S000176, S000114)
(S000176, S000115)
(S000176, S000116)
(S000176, S000117)
(S000176, S000119)
(S000176, S000125)
(S000176, S000126)
(S000176, S000146)
(S000176, S000147)
(S000176, S000148)
(S000176, S000158)
(S000176, S000170)
(S000176, S000198)
(S000176, S000201)
(S000176, S000202)
(S000176, S000210)
(S000181, S000002)
(S000181, S000033)
(S000181, S000034)
(S000181, S000035)
(S000181, S000036)
(S000185, S000002)
(S000185, S000202)
(S000191, S000002)
(S000191, S000020)
(S000191, S000155)
(S000196, S000002)
(S000196, S000020)
(S000196, S000025)
(S000196, S000026)
(S000196, S000027)
(S000196, S000028)
(S000196, S000033)
(S000196, S000034)
(S000196, S000062)
(S000196, S000146)
(S000196, S000147)
(S000196, S000148)
(S000196, S000158)
(S000196, S000198)
(S000196, S000202)
(S000196, S000210)
(S000197, S000002)
(S000197, S000020)
(S000197, S000026)
(S000197, S000027)
(S000197, S000028)
(S000197, S000033)
(S000197, S000034)
(S000197, S000062)
(S000197, S000146)
(S000197, S000147)
(S000197, S000148)
(S000197, S000158)
(S000197, S000198)
(S000197, S000202)
(S000197, S000210)
(S000198, S000002)
(S000198, S000020)
(S000198, S000025)
(S000198, S000026)
(S000198, S000027)
(S000198, S000028)
(S000198, S000033)
(S000198, S000034)
(S000198, S000062)
(S000198, S000146)
(S000198, S000147)
(S000198, S000148)
(S000198, S000158)
(S000198, S000202)
(S000198, S000210)
(S000201, S000002)
(S000201, S000020)
(S000201, S000025)
(S000201, S000026)
(S000201, S000027)
(S000201, S000028)
(S000201, S000033)
(S000201, S000034)
(S000201, S000062)
(S000201, S000146)
(S000201, S000147)
(S000201, S000148)
(S000201, S000158)
(S000201, S000198)
(S000201, S000202)
(S000201, S000210)
(S000205, S000002)
(S000205, S000020)
(S000205, S000025)
(S000205, S000026)
(S000205, S000027)
(S000205, S000028)
(S000205, S000033)
(S000205, S000034)
(S000205, S000062)
(S000205, S000113)
(S000205, S000114)
(S000205, S000146)
(S000205, S000147)
(S000205, S000148)
(S000205, S000158)
(S000205, S000198)
(S000205, S000202)
(S000205, S000210)
(S000209, S000002)
(S000209, S000020)
(S000209, S000026)
(S000209, S000027)
(S000209, S000028)
(S000209, S000033)
(S000209, S000034)
(S000209, S000062)
(S000209, S000146)
(S000209, S000147)
(S000209, S000148)
(S000209, S000158)
(S000209, S000198)
(S000209, S000202)
(S000209, S000210)
(S000218, S000002)
(S000218, S000033)
(S000218, S000034)
(S000218, S000035)
(S000038, S000002)
(S000038, S000020)
(S000038, S000025)
(S000038, S000026)
(S000038, S000027)
(S000038, S000028)
(S000038, S000033)
(S000038, S000034)
(S000038, S000062)
(S000038, S000146)
(S000038, S000147)
(S000038, S000148)
(S000038, S000158)
(S000038, S000198)
(S000038, S000202)
(S000038, S000210)
(S000040, S000002)
(S000040, S000020)
(S000040, S000025)
(S000040, S000026)
(S000040, S000027)
